Date,Region,Product,Price,Quantity,Total_Sale,Client_ID
2023-01-31,Norte,Produto de Higiene,79.24,5,396.2,87
2023-01-31,Norte,Cosmético,70.81,2,141.62,85
2023-01-31,Norte,Cosmético,41.1,6,246.6,161
2023-01-31,Norte,Produto de Higiene,87.88,1,87.88,159
2023-01-31,Norte,Medicamento A,27.3,5,136.5,59
2023-01-31,Norte,Medicamento A,46.23,2,92.46,195
2023-01-31,Norte,Medicamento A,47.15,5,235.75,8
2023-01-31,Norte,Medicamento A,35.82,1,35.82,76
2023-01-31,Norte,Medicamento C,40.61,3,121.83,63
2023-01-31,Norte,Cosmético,44.14,3,132.42,44
2023-01-31,Norte,Medicamento B,12.5,7,87.5,159
2023-01-31,Norte,Medicamento B,52.28,10,522.8,37
2023-01-31,Nordeste,Produto de Higiene,65.6,8,524.8,66
2023-01-31,Nordeste,Medicamento A,90.4,8,723.2,74
2023-01-31,Nordeste,Cosmético,20.01,8,160.08,89
2023-01-31,Nordeste,Cosmético,33.42,7,233.94,177
2023-01-31,Nordeste,Medicamento C,48.4,5,242.0,51
2023-01-31,Nordeste,Produto de Higiene,86.07,2,172.14,61
2023-01-31,Nordeste,Produto de Higiene,59.33,10,593.3,76
2023-01-31,Nordeste,Medicamento C,7.08,7,49.56,71
2023-01-31,Nordeste,Medicamento A,58.76,1,58.76,156
2023-01-31,Nordeste,Produto de Higiene,84.12,5,420.6,199
2023-01-31,Nordeste,Medicamento B,62.67,6,376.02,57
2023-01-31,Nordeste,Medicamento B,63.98,3,191.94,161
2023-01-31,Nordeste,Medicamento A,90.82,1,90.82,80
2023-01-31,Nordeste,Produto de Higiene,8.17,6,49.02,188
2023-01-31,Nordeste,Medicamento B,13.56,5,67.8,84
2023-01-31,Nordeste,Produto de Higiene,21.69,3,65.07,139
2023-01-31,Nordeste,Medicamento C,55.43,5,277.15,43
2023-01-31,Nordeste,Medicamento C,91.83,8,734.64,76
2023-01-31,Nordeste,Medicamento C,81.4,8,651.2,20
2023-01-31,Nordeste,Medicamento B,76.64,4,306.56,174
2023-01-31,Nordeste,Produto de Higiene,96.89,9,872.01,94
2023-01-31,Nordeste,Medicamento A,80.11,1,80.11,68
2023-01-31,Nordeste,Cosmético,16.74,6,100.44,173
2023-01-31,Nordeste,Medicamento C,60.53,6,363.18,28
2023-01-31,Nordeste,Medicamento B,49.79,10,497.9,144
2023-01-31,Nordeste,Medicamento C,91.95,4,367.8,166
2023-01-31,Nordeste,Medicamento A,65.36,8,522.88,180
2023-01-31,Nordeste,Medicamento C,66.68,2,133.36,36
2023-01-31,Nordeste,Medicamento A,94.89,5,474.45,127
2023-01-31,Nordeste,Medicamento A,14.23,9,128.07,35
2023-01-31,Nordeste,Produto de Higiene,48.1,9,432.9,108
2023-01-31,Nordeste,Cosmético,75.52,3,226.56,107
2023-01-31,Nordeste,Medicamento A,84.2,10,842.0,105
2023-01-31,Nordeste,Medicamento C,8.11,6,48.66,56
2023-01-31,Nordeste,Produto de Higiene,47.25,4,189.0,93
2023-01-31,Nordeste,Medicamento A,98.19,6,589.14,140
2023-01-31,Nordeste,Medicamento C,10.75,5,53.75,49
2023-01-31,Nordeste,Medicamento A,95.16,8,761.28,24
2023-01-31,Nordeste,Medicamento B,65.96,10,659.6,6
2023-01-31,Nordeste,Medicamento A,79.75,4,319.0,33
2023-01-31,Nordeste,Cosmético,24.49,9,220.41,54
2023-01-31,Nordeste,Cosmético,25.52,4,102.08,85
2023-01-31,Nordeste,Medicamento B,79.92,10,799.2,1
2023-01-31,Nordeste,Medicamento C,86.55,3,259.65,34
2023-01-31,Nordeste,Cosmético,28.81,3,86.43,29
2023-01-31,Nordeste,Medicamento A,17.52,6,105.12,61
2023-01-31,Nordeste,Cosmético,35.76,3,107.28,68
2023-01-31,Nordeste,Medicamento A,17.04,7,119.28,135
2023-01-31,Nordeste,Medicamento A,75.84,8,606.72,115
2023-01-31,Nordeste,Medicamento C,53.76,2,107.52,116
2023-01-31,Nordeste,Cosmético,26.05,10,260.5,12
2023-01-31,Nordeste,Cosmético,33.65,1,33.65,16
2023-01-31,Nordeste,Produto de Higiene,85.49,7,598.43,176
2023-01-31,Nordeste,Medicamento A,51.58,8,412.64,19
2023-01-31,Nordeste,Medicamento A,35.6,3,106.8,17
2023-01-31,Nordeste,Medicamento B,31.13,10,311.3,141
2023-01-31,Nordeste,Medicamento C,41.19,10,411.9,136
2023-01-31,Nordeste,Medicamento C,48.1,10,481.0,111
2023-01-31,Nordeste,Medicamento A,80.34,2,160.68,168
2023-01-31,Nordeste,Cosmético,73.48,4,293.92,111
2023-01-31,Nordeste,Produto de Higiene,89.37,7,625.59,87
2023-01-31,Nordeste,Produto de Higiene,42.88,2,85.76,81
2023-01-31,Nordeste,Produto de Higiene,34.69,5,173.45,96
2023-01-31,Nordeste,Medicamento B,70.25,8,562.0,18
2023-01-31,Sul,Medicamento A,13.86,2,27.72,191
2023-01-31,Sul,Medicamento C,82.12,9,739.08,16
2023-01-31,Sul,Cosmético,95.88,9,862.92,85
2023-01-31,Sul,Medicamento A,44.03,7,308.21,185
2023-01-31,Sul,Medicamento A,97.0,10,970.0,80
2023-01-31,Sul,Medicamento C,14.84,9,133.56,55
2023-01-31,Sul,Medicamento B,67.39,4,269.56,28
2023-01-31,Sul,Medicamento C,85.31,6,511.86,30
2023-01-31,Sul,Medicamento C,59.54,7,416.78,144
2023-01-31,Sul,Cosmético,63.29,9,569.61,7
2023-01-31,Sul,Cosmético,93.26,5,466.3,8
2023-01-31,Sul,Medicamento B,30.96,5,154.8,87
2023-01-31,Sul,Medicamento C,5.58,3,16.74,145
2023-01-31,Sul,Produto de Higiene,11.61,1,11.61,24
2023-01-31,Sul,Cosmético,25.44,7,178.08,117
2023-01-31,Sul,Medicamento C,19.95,5,99.75,185
2023-01-31,Sul,Medicamento C,78.8,10,788.0,153
2023-01-31,Sul,Medicamento A,88.92,3,266.76,41
2023-01-31,Sul,Cosmético,9.73,2,19.46,70
2023-01-31,Sul,Produto de Higiene,67.88,8,543.04,156
2023-01-31,Sul,Produto de Higiene,44.35,4,177.4,194
2023-01-31,Sul,Cosmético,15.81,7,110.67,29
2023-01-31,Sul,Medicamento C,69.43,10,694.3,125
2023-01-31,Sul,Cosmético,68.38,1,68.38,57
2023-01-31,Sul,Produto de Higiene,98.52,1,98.52,2
2023-01-31,Sul,Medicamento B,33.63,4,134.52,197
2023-01-31,Sul,Medicamento B,77.6,5,388.0,84
2023-01-31,Sul,Medicamento A,5.73,7,40.11,45
2023-01-31,Sul,Medicamento B,41.12,4,164.48,129
2023-01-31,Sul,Cosmético,84.17,6,505.02,19
2023-01-31,Sul,Produto de Higiene,86.87,1,86.87,112
2023-01-31,Sul,Medicamento A,48.68,2,97.36,81
2023-01-31,Sul,Cosmético,45.78,7,320.46,182
2023-01-31,Sul,Produto de Higiene,32.5,7,227.5,6
2023-01-31,Sul,Medicamento C,21.33,10,213.3,118
2023-01-31,Sul,Medicamento C,13.37,2,26.74,63
2023-01-31,Sul,Produto de Higiene,60.94,9,548.46,21
2023-01-31,Sul,Produto de Higiene,87.7,6,526.2,57
2023-01-31,Sul,Medicamento C,79.02,2,158.04,131
2023-01-31,Sul,Medicamento A,55.41,4,221.64,199
2023-01-31,Sul,Medicamento C,38.35,3,115.05,61
2023-01-31,Sul,Medicamento A,18.91,4,75.64,45
2023-01-31,Sul,Cosmético,19.52,2,39.04,46
2023-01-31,Sul,Produto de Higiene,49.08,10,490.8,195
2023-01-31,Sul,Cosmético,47.65,10,476.5,165
2023-01-31,Sul,Cosmético,35.7,6,214.2,39
2023-01-31,Sul,Produto de Higiene,11.49,8,91.92,162
2023-01-31,Sul,Medicamento C,80.65,10,806.5,15
2023-01-31,Sul,Medicamento C,53.2,5,266.0,119
2023-01-31,Sul,Produto de Higiene,8.57,6,51.42,74
2023-01-31,Sul,Medicamento A,66.24,2,132.48,158
2023-01-31,Sul,Cosmético,53.17,8,425.36,149
2023-01-31,Sul,Cosmético,95.65,1,95.65,116
2023-01-31,Sul,Cosmético,66.92,6,401.52,155
2023-01-31,Sul,Produto de Higiene,52.63,1,52.63,116
2023-01-31,Sudeste,Medicamento C,98.33,2,196.66,130
2023-01-31,Sudeste,Medicamento B,8.72,8,69.76,113
2023-01-31,Sudeste,Cosmético,54.66,3,163.98,94
2023-01-31,Sudeste,Medicamento C,92.2,7,645.4,105
2023-01-31,Sudeste,Medicamento C,69.5,1,69.5,162
2023-01-31,Sudeste,Medicamento C,11.26,2,22.52,143
2023-01-31,Sudeste,Produto de Higiene,31.99,10,319.9,39
2023-01-31,Sudeste,Medicamento C,12.74,3,38.22,90
2023-01-31,Sudeste,Medicamento C,96.93,7,678.51,34
2023-01-31,Sudeste,Cosmético,72.34,2,144.68,80
2023-01-31,Sudeste,Cosmético,40.78,6,244.68,33
2023-01-31,Sudeste,Cosmético,13.88,7,97.16,131
2023-01-31,Sudeste,Medicamento C,6.73,5,33.65,47
2023-01-31,Sudeste,Medicamento B,37.46,8,299.68,50
2023-01-31,Sudeste,Medicamento B,100.0,3,300.0,20
2023-01-31,Sudeste,Medicamento C,85.22,2,170.44,130
2023-01-31,Sudeste,Cosmético,84.34,9,759.06,10
2023-01-31,Sudeste,Medicamento C,88.26,10,882.6,34
2023-01-31,Sudeste,Cosmético,40.79,3,122.37,47
2023-01-31,Sudeste,Cosmético,81.86,3,245.58,185
2023-01-31,Sudeste,Produto de Higiene,9.15,6,54.9,174
2023-01-31,Sudeste,Medicamento B,97.11,10,971.1,73
2023-01-31,Sudeste,Produto de Higiene,27.23,4,108.92,80
2023-01-31,Sudeste,Produto de Higiene,90.88,4,363.52,95
2023-01-31,Sudeste,Cosmético,98.52,8,788.16,197
2023-01-31,Sudeste,Medicamento C,78.92,9,710.28,136
2023-01-31,Sudeste,Produto de Higiene,96.8,4,387.2,155
2023-01-31,Sudeste,Medicamento B,87.94,1,87.94,165
2023-01-31,Sudeste,Produto de Higiene,88.04,9,792.36,27
2023-01-31,Sudeste,Cosmético,85.86,5,429.3,22
2023-01-31,Sudeste,Medicamento B,30.92,9,278.28,38
2023-01-31,Sudeste,Produto de Higiene,13.71,4,54.84,116
2023-01-31,Sudeste,Medicamento C,93.39,7,653.73,14
2023-01-31,Sudeste,Produto de Higiene,52.69,4,210.76,99
2023-01-31,Sudeste,Medicamento A,40.62,1,40.62,82
2023-01-31,Sudeste,Medicamento A,84.72,6,508.32,38
2023-01-31,Sudeste,Medicamento B,8.64,8,69.12,179
2023-01-31,Sudeste,Medicamento B,77.09,8,616.72,115
2023-01-31,Sudeste,Cosmético,5.5,2,11.0,5
2023-01-31,Sudeste,Medicamento C,25.49,3,76.47,141
2023-01-31,Sudeste,Cosmético,55.14,2,110.28,199
2023-01-31,Sudeste,Medicamento C,27.58,2,55.16,13
2023-01-31,Sudeste,Medicamento B,44.88,10,448.8,118
2023-01-31,Sudeste,Medicamento A,15.53,8,124.24,153
2023-01-31,Sudeste,Cosmético,6.56,9,59.04,148
2023-01-31,Sudeste,Medicamento B,73.26,5,366.3,110
2023-01-31,Sudeste,Medicamento A,63.41,4,253.64,147
2023-01-31,Sudeste,Produto de Higiene,22.79,2,45.58,135
2023-01-31,Sudeste,Medicamento C,11.43,9,102.87,140
2023-01-31,Sudeste,Cosmético,79.71,9,717.39,142
2023-01-31,Sudeste,Medicamento A,42.09,8,336.72,12
2023-01-31,Sudeste,Produto de Higiene,98.2,5,491.0,192
2023-01-31,Sudeste,Medicamento A,38.92,2,77.84,89
2023-01-31,Sudeste,Medicamento B,74.63,2,149.26,198
2023-01-31,Sudeste,Cosmético,74.84,6,449.04,35
2023-01-31,Sudeste,Medicamento A,38.47,6,230.82,165
2023-01-31,Centro-Oeste,Produto de Higiene,98.18,8,785.44,162
2023-01-31,Centro-Oeste,Medicamento B,82.09,2,164.18,184
2023-01-31,Centro-Oeste,Produto de Higiene,8.51,4,34.04,12
2023-01-31,Centro-Oeste,Medicamento B,89.15,6,534.9,80
2023-01-31,Centro-Oeste,Cosmético,42.83,9,385.47,122
2023-01-31,Centro-Oeste,Medicamento C,8.48,4,33.92,74
2023-01-31,Centro-Oeste,Medicamento C,86.9,1,86.9,168
2023-01-31,Centro-Oeste,Medicamento C,30.96,6,185.76,112
2023-01-31,Centro-Oeste,Produto de Higiene,75.61,7,529.27,87
2023-01-31,Centro-Oeste,Medicamento B,52.14,8,417.12,95
2023-01-31,Centro-Oeste,Cosmético,30.34,2,60.68,187
2023-01-31,Centro-Oeste,Produto de Higiene,12.5,10,125.0,47
2023-01-31,Centro-Oeste,Cosmético,32.91,2,65.82,21
2023-01-31,Centro-Oeste,Medicamento C,67.79,5,338.95,115
2023-01-31,Centro-Oeste,Cosmético,73.18,3,219.54,177
2023-01-31,Centro-Oeste,Produto de Higiene,38.4,1,38.4,187
2023-01-31,Centro-Oeste,Medicamento C,63.41,7,443.87,71
2023-01-31,Centro-Oeste,Medicamento A,12.13,7,84.91,94
2023-01-31,Centro-Oeste,Cosmético,81.1,3,243.3,8
2023-01-31,Centro-Oeste,Medicamento B,85.62,8,684.96,9
2023-01-31,Centro-Oeste,Medicamento B,11.39,6,68.34,93
2023-01-31,Centro-Oeste,Produto de Higiene,95.2,1,95.2,155
2023-01-31,Centro-Oeste,Medicamento B,69.51,6,417.06,96
2023-01-31,Centro-Oeste,Produto de Higiene,77.49,10,774.9,36
2023-01-31,Centro-Oeste,Cosmético,39.86,6,239.16,167
2023-01-31,Centro-Oeste,Medicamento C,28.71,2,57.42,7
2023-01-31,Centro-Oeste,Medicamento B,52.41,7,366.87,144
2023-01-31,Centro-Oeste,Medicamento A,29.87,5,149.35,181
2023-01-31,Centro-Oeste,Produto de Higiene,25.38,10,253.8,74
2023-01-31,Centro-Oeste,Produto de Higiene,24.02,3,72.06,19
2023-01-31,Centro-Oeste,Produto de Higiene,21.4,8,171.2,23
2023-01-31,Centro-Oeste,Medicamento C,68.44,2,136.88,141
2023-01-31,Centro-Oeste,Cosmético,32.58,5,162.9,41
2023-01-31,Centro-Oeste,Medicamento B,80.4,9,723.6,58
2023-01-31,Centro-Oeste,Medicamento A,98.59,3,295.77,61
2023-01-31,Centro-Oeste,Produto de Higiene,7.5,9,67.5,147
2023-01-31,Centro-Oeste,Medicamento C,49.4,9,444.6,34
2023-01-31,Centro-Oeste,Cosmético,89.0,2,178.0,80
2023-01-31,Centro-Oeste,Produto de Higiene,99.96,8,799.68,135
2023-01-31,Centro-Oeste,Produto de Higiene,78.07,10,780.7,19
2023-01-31,Centro-Oeste,Medicamento B,97.38,2,194.76,116
2023-01-31,Centro-Oeste,Produto de Higiene,69.61,6,417.66,33
2023-01-31,Centro-Oeste,Cosmético,65.78,3,197.34,197
2023-01-31,Centro-Oeste,Medicamento B,46.1,1,46.1,32
2023-01-31,Centro-Oeste,Cosmético,19.54,3,58.62,42
2023-01-31,Centro-Oeste,Medicamento C,93.8,4,375.2,89
2023-01-31,Centro-Oeste,Cosmético,90.02,2,180.04,65
2023-01-31,Centro-Oeste,Medicamento B,65.33,9,587.97,71
2023-01-31,Centro-Oeste,Medicamento B,64.38,10,643.8,137
2023-01-31,Centro-Oeste,Medicamento A,52.74,3,158.22,152
2023-01-31,Centro-Oeste,Cosmético,19.65,10,196.5,185
2023-01-31,Centro-Oeste,Cosmético,37.07,10,370.7,11
2023-01-31,Centro-Oeste,Medicamento A,12.72,10,127.2,68
2023-01-31,Centro-Oeste,Medicamento B,77.86,7,545.02,159
2023-01-31,Centro-Oeste,Medicamento A,52.31,9,470.79,75
2023-01-31,Centro-Oeste,Medicamento C,50.88,7,356.16,77
2023-01-31,Centro-Oeste,Produto de Higiene,11.93,1,11.93,41
2023-01-31,Centro-Oeste,Produto de Higiene,44.48,8,355.84,53
2023-01-31,Centro-Oeste,Medicamento C,62.63,6,375.78,184
2023-01-31,Centro-Oeste,Medicamento C,74.75,6,448.5,103
2023-01-31,Centro-Oeste,Medicamento B,77.26,9,695.34,144
2023-02-28,Norte,Medicamento C,27.97,2,55.94,69
2023-02-28,Norte,Produto de Higiene,28.55,2,57.1,13
2023-02-28,Norte,Medicamento C,94.81,10,948.1,108
2023-02-28,Norte,Medicamento B,96.46,3,289.38,84
2023-02-28,Norte,Cosmético,73.51,4,294.04,196
2023-02-28,Norte,Medicamento B,52.34,9,471.06,120
2023-02-28,Norte,Produto de Higiene,88.51,8,708.08,6
2023-02-28,Norte,Medicamento A,94.8,9,853.2,118
2023-02-28,Norte,Medicamento B,25.44,6,152.64,13
2023-02-28,Norte,Medicamento A,31.73,10,317.3,168
2023-02-28,Norte,Produto de Higiene,32.15,1,32.15,28
2023-02-28,Norte,Produto de Higiene,17.72,5,88.6,187
2023-02-28,Norte,Medicamento C,77.57,6,465.42,12
2023-02-28,Norte,Produto de Higiene,9.86,9,88.74,50
2023-02-28,Norte,Medicamento C,57.56,2,115.12,99
2023-02-28,Norte,Cosmético,47.78,9,430.02,72
2023-02-28,Norte,Cosmético,69.64,2,139.28,33
2023-02-28,Norte,Medicamento A,42.42,6,254.52,143
2023-02-28,Norte,Medicamento C,76.72,4,306.88,155
2023-02-28,Norte,Cosmético,43.13,1,43.13,12
2023-02-28,Norte,Medicamento A,18.02,6,108.12,122
2023-02-28,Norte,Cosmético,48.41,10,484.1,132
2023-02-28,Norte,Medicamento B,36.16,10,361.6,82
2023-02-28,Norte,Medicamento B,42.33,10,423.3,190
2023-02-28,Norte,Medicamento C,61.4,9,552.6,131
2023-02-28,Norte,Cosmético,51.54,10,515.4,77
2023-02-28,Norte,Produto de Higiene,82.5,6,495.0,85
2023-02-28,Norte,Medicamento A,98.09,10,980.9,79
2023-02-28,Norte,Medicamento A,61.71,5,308.55,168
2023-02-28,Norte,Cosmético,59.88,1,59.88,150
2023-02-28,Norte,Produto de Higiene,21.2,10,212.0,199
2023-02-28,Norte,Produto de Higiene,19.04,4,76.16,9
2023-02-28,Norte,Cosmético,95.08,2,190.16,49
2023-02-28,Norte,Medicamento A,46.9,7,328.3,39
2023-02-28,Norte,Produto de Higiene,70.6,7,494.2,129
2023-02-28,Norte,Cosmético,92.45,1,92.45,181
2023-02-28,Norte,Medicamento B,54.27,9,488.43,84
2023-02-28,Norte,Produto de Higiene,54.92,6,329.52,45
2023-02-28,Norte,Produto de Higiene,91.65,6,549.9,140
2023-02-28,Norte,Medicamento C,69.21,5,346.05,157
2023-02-28,Norte,Produto de Higiene,23.27,4,93.08,72
2023-02-28,Norte,Cosmético,33.36,5,166.8,198
2023-02-28,Norte,Medicamento C,71.97,8,575.76,82
2023-02-28,Norte,Produto de Higiene,38.14,5,190.7,74
2023-02-28,Norte,Medicamento A,59.48,9,535.32,98
2023-02-28,Norte,Produto de Higiene,82.75,3,248.25,75
2023-02-28,Norte,Medicamento A,32.32,2,64.64,89
2023-02-28,Norte,Produto de Higiene,67.32,8,538.56,55
2023-02-28,Norte,Medicamento B,83.66,5,418.3,144
2023-02-28,Norte,Medicamento C,18.04,10,180.4,190
2023-02-28,Norte,Cosmético,27.73,1,27.73,172
2023-02-28,Norte,Cosmético,26.44,4,105.76,14
2023-02-28,Norte,Medicamento A,44.26,8,354.08,26
2023-02-28,Norte,Medicamento B,5.49,9,49.41,41
2023-02-28,Norte,Produto de Higiene,67.02,8,536.16,123
2023-02-28,Norte,Medicamento B,76.81,5,384.05,83
2023-02-28,Nordeste,Medicamento A,91.25,2,182.5,167
2023-02-28,Nordeste,Cosmético,27.06,1,27.06,45
2023-02-28,Nordeste,Produto de Higiene,88.81,3,266.43,10
2023-02-28,Nordeste,Produto de Higiene,79.86,3,239.58,192
2023-02-28,Nordeste,Medicamento C,88.29,1,88.29,77
2023-02-28,Nordeste,Cosmético,62.26,6,373.56,73
2023-02-28,Nordeste,Produto de Higiene,98.96,9,890.64,135
2023-02-28,Nordeste,Produto de Higiene,89.48,3,268.44,130
2023-02-28,Nordeste,Produto de Higiene,30.92,2,61.84,85
2023-02-28,Nordeste,Medicamento B,74.46,5,372.3,184
2023-02-28,Nordeste,Medicamento B,6.34,6,38.04,76
2023-02-28,Nordeste,Cosmético,69.07,4,276.28,45
2023-02-28,Nordeste,Cosmético,86.33,7,604.31,110
2023-02-28,Nordeste,Cosmético,36.15,7,253.05,172
2023-02-28,Nordeste,Medicamento A,22.55,3,67.65,123
2023-02-28,Nordeste,Medicamento C,93.9,1,93.9,67
2023-02-28,Nordeste,Produto de Higiene,27.37,5,136.85,85
2023-02-28,Nordeste,Medicamento C,60.33,10,603.3,3
2023-02-28,Nordeste,Medicamento C,67.1,4,268.4,16
2023-02-28,Nordeste,Medicamento A,49.21,3,147.63,104
2023-02-28,Nordeste,Cosmético,92.7,5,463.5,177
2023-02-28,Nordeste,Medicamento A,65.68,5,328.4,95
2023-02-28,Nordeste,Cosmético,25.98,3,77.94,123
2023-02-28,Nordeste,Medicamento B,48.22,10,482.2,96
2023-02-28,Nordeste,Produto de Higiene,71.68,8,573.44,194
2023-02-28,Nordeste,Cosmético,81.19,4,324.76,196
2023-02-28,Nordeste,Medicamento B,69.63,10,696.3,21
2023-02-28,Nordeste,Cosmético,47.44,6,284.64,20
2023-02-28,Nordeste,Cosmético,15.66,9,140.94,130
2023-02-28,Nordeste,Medicamento B,59.41,3,178.23,43
2023-02-28,Nordeste,Medicamento C,86.18,8,689.44,30
2023-02-28,Nordeste,Medicamento B,73.11,8,584.88,24
2023-02-28,Nordeste,Cosmético,47.32,1,47.32,117
2023-02-28,Nordeste,Medicamento B,53.76,8,430.08,145
2023-02-28,Nordeste,Medicamento A,58.09,5,290.45,186
2023-02-28,Nordeste,Medicamento A,42.62,1,42.62,191
2023-02-28,Nordeste,Medicamento B,59.94,1,59.94,109
2023-02-28,Nordeste,Medicamento C,71.54,9,643.86,16
2023-02-28,Nordeste,Medicamento A,98.68,8,789.44,9
2023-02-28,Nordeste,Medicamento C,43.84,3,131.52,197
2023-02-28,Nordeste,Produto de Higiene,40.57,7,283.99,115
2023-02-28,Nordeste,Produto de Higiene,40.69,9,366.21,35
2023-02-28,Nordeste,Medicamento C,16.27,9,146.43,101
2023-02-28,Nordeste,Cosmético,17.1,4,68.4,1
2023-02-28,Nordeste,Medicamento A,97.96,8,783.68,173
2023-02-28,Nordeste,Cosmético,45.29,7,317.03,59
2023-02-28,Nordeste,Medicamento B,48.76,3,146.28,71
2023-02-28,Nordeste,Medicamento B,94.05,2,188.1,9
2023-02-28,Nordeste,Produto de Higiene,63.42,1,63.42,62
2023-02-28,Nordeste,Medicamento B,11.39,10,113.9,9
2023-02-28,Nordeste,Produto de Higiene,61.79,1,61.79,63
2023-02-28,Nordeste,Medicamento A,43.22,4,172.88,139
2023-02-28,Nordeste,Medicamento B,76.67,1,76.67,36
2023-02-28,Nordeste,Cosmético,99.38,4,397.52,188
2023-02-28,Nordeste,Cosmético,35.3,10,353.0,198
2023-02-28,Nordeste,Medicamento C,27.51,3,82.53,170
2023-02-28,Nordeste,Cosmético,26.0,5,130.0,71
2023-02-28,Nordeste,Medicamento A,57.89,10,578.9,189
2023-02-28,Nordeste,Medicamento B,64.47,7,451.29,143
2023-02-28,Nordeste,Produto de Higiene,9.45,6,56.7,165
2023-02-28,Nordeste,Produto de Higiene,79.65,6,477.9,179
2023-02-28,Nordeste,Produto de Higiene,43.78,5,218.9,97
2023-02-28,Nordeste,Medicamento B,76.67,8,613.36,62
2023-02-28,Nordeste,Medicamento B,33.57,3,100.71,119
2023-02-28,Nordeste,Medicamento A,58.43,7,409.01,143
2023-02-28,Nordeste,Cosmético,17.74,4,70.96,66
2023-02-28,Nordeste,Medicamento B,36.37,2,72.74,116
2023-02-28,Nordeste,Medicamento C,13.78,4,55.12,14
2023-02-28,Sul,Produto de Higiene,69.0,10,690.0,11
2023-02-28,Sul,Medicamento A,22.88,10,228.8,186
2023-02-28,Sul,Cosmético,25.62,4,102.48,86
2023-02-28,Sul,Medicamento C,95.92,1,95.92,55
2023-02-28,Sul,Medicamento B,96.4,2,192.8,192
2023-02-28,Sul,Produto de Higiene,91.87,10,918.7,181
2023-02-28,Sul,Medicamento B,42.68,4,170.72,142
2023-02-28,Sul,Medicamento C,78.67,7,550.69,120
